iter	Passed	Remaining
0	132	132522
1	134	67077
2	136	45212
3	137	34239
4	139	27729
5	141	23363
6	142	20233
7	144	17877
8	145	16037
9	147	14558
10	148	13368
11	150	12368
12	151	11521
13	153	10803
14	154	10172
15	156	9626
16	158	9136
17	159	8720
18	161	8359
19	163	8030
20	165	7716
21	167	7442
22	169	7192
23	171	6976
24	173	6772
25	175	6568
26	176	6377
27	178	6198
28	180	6040
29	182	5891
30	183	5741
31	184	5592
32	186	5453
33	188	5350
34	189	5232
35	191	5117
36	192	5008
37	193	4904
38	195	4814
39	196	4722
40	198	4632
41	199	4544
42	200	4465
43	202	4396
44	204	4340
45	205	4268
46	206	4196
47	208	4128
48	209	4064
49	210	4006
50	212	3950
51	213	3894
52	214	3841
53	216	3789
54	217	3744
55	219	3703
56	221	3657
57	222	3612
58	223	3566
59	225	3525
60	226	3488
61	228	3451
62	229	3410
63	231	3379
64	232	3343
65	233	3310
66	235	3278
67	236	3237
68	237	3204
69	238	3172
70	240	3146
71	242	3121
72	243	3094
73	245	3066
74	246	3040
75	247	3014
76	249	2990
77	251	2973
78	252	2947
79	254	2921
80	255	2897
81	256	2876
82	258	2858
83	260	2835
84	260	2809
85	262	2786
86	263	2763
87	265	2747
88	266	2727
89	267	2706
90	268	2685
91	270	2669
92	272	2654
93	273	2639
94	275	2620
95	276	2602
96	277	2586
97	279	2569
98	280	2556
99	282	2540
100	283	2523
101	284	2501
102	285	2486
103	287	2478
104	289	2463
105	290	2448
106	291	2433
107	293	2420
108	294	2408
109	296	2395
110	297	2381
111	298	2369
112	300	2357
113	301	2346
114	303	2333
115	304	2319
116	305	2307
117	307	2294
118	308	2280
119	309	2270
120	310	2259
121	312	2247
122	313	2232
123	314	2222
124	315	2211
125	318	2207
126	319	2199
127	320	2185
128	322	2176
129	323	2168
130	325	2159
131	327	2150
132	328	2144
133	330	2136
134	332	2130
135	333	2121
136	335	2113
137	336	2103
138	338	2094
139	339	2086
140	341	2078
141	342	2069
142	344	2061
143	345	2053
144	347	2050
145	349	2042
146	350	2034
147	351	2026
148	353	2017
149	355	2013
150	356	2005
151	358	1999
152	359	1991
153	361	1983
154	362	1977
155	364	1970
156	365	1962
157	366	1955
158	368	1947
159	369	1941
160	371	1935
161	373	1929
162	374	1922
163	375	1915
164	377	1909
165	378	1902
166	379	1895
167	381	1888
168	382	1880
169	383	1873
170	385	1868
171	387	1864
172	388	1859
173	390	1853
174	391	1847
175	393	1841
176	394	1835
177	395	1828
178	397	1822
179	398	1816
180	399	1808
181	400	1801
182	402	1795
183	403	1789
184	404	1783
185	406	1776
186	407	1771
187	409	1766
188	410	1762
189	412	1756
190	413	1750
191	415	1747
192	417	1743
193	418	1738
194	420	1734
195	421	1729
196	423	1724
197	424	1720
198	426	1715
199	427	1709
200	428	1704
201	430	1700
202	431	1695
203	433	1690
204	434	1685
205	436	1680
206	437	1675
207	439	1672
208	440	1668
209	442	1665
210	444	1661
211	445	1656
212	447	1655
213	449	1651
214	450	1646
215	452	1641
216	453	1638
217	455	1634
218	457	1630
219	458	1625
220	459	1620
221	461	1618
222	463	1615
223	465	1612
224	466	1608
225	468	1605
226	470	1603
227	472	1598
228	473	1594
229	474	1589
230	476	1585
231	477	1581
232	478	1576
233	480	1571
234	481	1567
235	482	1562
236	484	1558
237	485	1555
238	487	1551
239	488	1546
240	489	1542
241	491	1538
242	492	1534
243	493	1529
244	494	1525
245	496	1520
246	497	1516
247	498	1512
248	500	1508
249	501	1504
250	502	1500
251	504	1496
252	505	1491
253	506	1488
254	508	1484
255	509	1479
256	510	1475
257	511	1471
258	512	1467
259	514	1463
260	515	1460
261	517	1456
262	518	1452
263	519	1448
264	521	1445
265	522	1442
266	524	1439
267	525	1435
268	526	1431
269	527	1427
270	529	1423
271	530	1420
272	531	1416
273	533	1413
274	534	1409
275	535	1405
276	537	1402
277	538	1399
278	539	1395
279	541	1391
280	542	1388
281	544	1385
282	545	1382
283	546	1378
284	548	1375
285	549	1371
286	550	1367
287	552	1364
288	553	1361
289	554	1358
290	556	1354
291	557	1352
292	559	1349
293	561	1347
294	562	1344
295	563	1340
296	564	1337
297	566	1333
298	567	1330
299	568	1327
300	570	1324
301	571	1321
302	573	1318
303	574	1315
304	576	1312
305	577	1309
306	578	1305
307	579	1302
308	580	1299
309	582	1296
310	583	1293
311	585	1290
312	586	1287
313	587	1283
314	588	1280
315	590	1277
316	591	1274
317	592	1271
318	594	1268
319	595	1265
320	596	1261
321	598	1259
322	599	1256
323	600	1253
324	602	1250
325	603	1247
326	604	1244
327	606	1242
328	607	1239
329	608	1236
330	610	1232
331	611	1230
332	613	1228
333	614	1225
334	616	1223
335	617	1220
336	618	1217
337	620	1215
338	622	1212
339	623	1209
340	624	1206
341	625	1203
342	627	1201
343	628	1199
344	630	1196
345	631	1193
346	632	1190
347	633	1187
348	635	1184
349	636	1181
350	637	1178
351	638	1175
352	640	1173
353	641	1170
354	643	1168
355	644	1165
356	645	1162
357	646	1160
358	648	1157
359	649	1154
360	651	1152
361	652	1150
362	653	1147
363	655	1145
364	656	1142
365	658	1140
366	659	1137
367	660	1134
368	661	1131
369	663	1129
370	664	1126
371	665	1123
372	667	1121
373	668	1118
374	669	1116
375	670	1113
376	672	1110
377	673	1108
378	674	1105
379	676	1103
380	677	1100
381	678	1097
382	679	1095
383	681	1092
384	682	1090
385	684	1088
386	685	1085
387	686	1083
388	688	1080
389	689	1078
390	690	1075
391	691	1073
392	693	1070
393	694	1067
394	695	1065
395	696	1063
396	698	1060
397	699	1058
398	700	1055
399	702	1053
400	703	1050
401	704	1048
402	706	1046
403	707	1043
404	709	1041
405	710	1039
406	712	1037
407	713	1035
408	714	1033
409	716	1030
410	717	1028
411	718	1026
412	720	1023
413	721	1021
414	722	1018
415	723	1016
416	725	1014
417	726	1012
418	728	1009
419	729	1007
420	731	1005
421	732	1003
422	734	1001
423	735	999
424	737	997
425	738	995
426	740	993
427	742	992
428	743	989
429	744	987
430	746	985
431	748	983
432	749	981
433	751	979
434	752	977
435	754	976
436	756	974
437	757	972
438	759	970
439	760	968
440	761	965
441	763	963
442	765	962
443	767	961
444	769	959
445	771	958
446	774	957
447	776	956
448	778	954
449	779	952
450	781	951
451	783	949
452	785	947
453	786	945
454	788	944
455	790	943
456	792	941
457	793	938
458	795	937
459	797	936
460	799	934
461	801	933
462	803	932
463	806	931
464	807	929
465	809	927
466	811	926
467	813	924
468	815	922
469	816	920
470	818	919
471	820	917
472	822	916
473	823	914
474	826	913
475	828	912
476	830	910
477	832	909
478	834	907
479	835	905
480	837	903
481	839	902
